"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5074","View product details for the first product displays correct details @smoke","webkit","2026-06-23","passed","2026-06-23","Product details tests @ui @products","ui/productTests.spec.ts","",""
"","238","@regression Deleting account with invalid credentials returns 404","api","2026-06-23","passed","2026-06-23","@api @deleteAccount Delete Account API - /deleteAccount","api/userAccountTests.spec.ts","",""
"","2557","Login fails with wrong email @regression","chromium","2026-06-23","passed","2026-06-23","@ui @api @e2e User Login & Deletion Flow (API → UI)","ui/userFlows.spec.ts","",""
"","192","@regression Empty value for 'lastname' returns 201","api","2026-06-23","passed","2026-06-23","@api @createAccount Create Account API - /createAccount","api/createAccountApiTests.spec.ts","",""
"","162","@regression Invalid email 'invalid' returns 400","api","2026-06-23","passed","2026-06-23","@api @createAccount Create Account API - /createAccount","api/createAccountApiTests.spec.ts","",""
"","154","@regression Invalid email 'email@domain' returns 400","api","2026-06-23","passed","2026-06-23","@api @createAccount Create Account API - /createAccount","api/createAccountApiTests.spec.ts","",""
"","656","@regression PUT /brandsList returns 405 in response body","api","2026-06-23","passed","2026-06-23","@api @brands Brands API - /brandsList","api/brandsApiTests.spec.ts","",""
"","83","@regression POST /searchProduct with whitespace for search term "" jean"" returns empty list","api","2026-06-23","passed","2026-06-23","@api @search Search Product API - /searchProduct","api/searchProductApiTests.spec.ts","",""
"","163","@regression Invalid email 'email@domain.' returns 400","api","2026-06-23","passed","2026-06-23","@api @createAccount Create Account API - /createAccount","api/createAccountApiTests.spec.ts","",""
"","85","@regression POST /searchProduct with whitespace for search term ""tshirt "" returns empty list","api","2026-06-23","passed","2026-06-23","@api @search Search Product API - /searchProduct","api/searchProductApiTests.spec.ts","",""
"","4972","Search for a product and verify results @smoke","webkit","2026-06-23","passed","2026-06-23","Product details tests @ui @products","ui/productTests.spec.ts","",""
